project,cls_boot,accuracy,precision,recall,f1,auc,mcc
Zxing,RandomForestClassifier(random_state=0)0,0.7338709677419355,0.5714285714285714,0.5263157894736842,0.547945205479452,0.6759485924112607,0.3604356925413363
Zxing,RandomForestClassifier(random_state=0)1,0.7049180327868853,0.5,0.2222222222222222,0.30769230769230765,0.5645994832041344,0.1745607468521283
Zxing,RandomForestClassifier(random_state=0)2,0.6810344827586207,0.391304347826087,0.28125,0.3272727272727273,0.5572916666666667,0.1284489894925898
Zxing,RandomForestClassifier(random_state=0)3,0.6446280991735537,0.48148148148148145,0.30952380952380953,0.37681159420289856,0.5661543098251959,0.1512796532960983
Zxing,RandomForestClassifier(random_state=0)4,0.6692913385826772,0.42857142857142855,0.23076923076923078,0.3,0.5472027972027972,0.11722190923682718
Zxing,RandomForestClassifier(random_state=0)5,0.6637168141592921,0.5333333333333333,0.20512820512820512,0.2962962962962963,0.5552668052668053,0.15487590327457929
Zxing,RandomForestClassifier(random_state=0)6,0.6640625,0.53125,0.37777777777777777,0.4415584415584416,0.5985274431057563,0.2172810771516354
Zxing,RandomForestClassifier(random_state=0)7,0.7636363636363637,0.5555555555555556,0.5172413793103449,0.5357142857142857,0.6845466155810983,0.3778823963834327
Zxing,RandomForestClassifier(random_state=0)8,0.676923076923077,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.6351242983159583,0.2702485966319166
Zxing,RandomForestClassifier(random_state=0)9,0.6666666666666666,0.4074074074074074,0.3055555555555556,0.3492063492063492,0.560823754789272,0.13372007157572324
Zxing,RandomForestClassifier(random_state=0)10,0.725925925925926,0.6842105263157895,0.29545454545454547,0.41269841269841273,0.6147602397602397,0.30935894777092676
Zxing,RandomForestClassifier(random_state=0)11,0.676923076923077,0.45,0.225,0.3,0.5513888888888889,0.13147377508595978
Zxing,RandomForestClassifier(random_state=0)12,0.6694915254237288,0.4666666666666667,0.3783783783783784,0.417910447761194,0.5904237570904238,0.19268768171343553
Zxing,RandomForestClassifier(random_state=0)13,0.664,0.5151515151515151,0.3953488372093023,0.4473684210526315,0.6001134429948951,0.21578073270716028
Zxing,RandomForestClassifier(random_state=0)14,0.6639344262295082,0.5,0.2926829268292683,0.3692307692307692,0.5722673893405601,0.1717465970795109
Zxing,RandomForestClassifier(random_state=0)15,0.717741935483871,0.5416666666666666,0.35135135135135137,0.4262295081967213,0.612457284871078,0.26047884470506183
Zxing,RandomForestClassifier(random_state=0)16,0.6551724137931034,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.5839311334289813,0.1678622668579627
Zxing,RandomForestClassifier(random_state=0)17,0.7166666666666667,0.6363636363636364,0.35,0.45161290322580644,0.625,0.30457245193658633
Zxing,RandomForestClassifier(random_state=0)18,0.7050359712230215,0.45454545454545453,0.39473684210526316,0.4225352112676056,0.6082595101615426,0.22679769479630546
Zxing,RandomForestClassifier(random_state=0)19,0.6717557251908397,0.44,0.275,0.3384615384615385,0.5605769230769231,0.14199235450298173
Zxing,RandomForestClassifier(random_state=0)20,0.6859504132231405,0.39285714285714285,0.34375,0.3666666666666667,0.5763693820224719,0.15973451760185922
Zxing,RandomForestClassifier(random_state=0)21,0.768,0.53125,0.5483870967741935,0.5396825396825397,0.6944063143445436,0.38474118006788954
Zxing,RandomForestClassifier(random_state=0)22,0.6260869565217392,0.32432432432432434,0.4,0.3582089552238806,0.5529411764705882,0.0995280535087731
Zxing,RandomForestClassifier(random_state=0)23,0.6581196581196581,0.42857142857142855,0.24324324324324326,0.3103448275862069,0.5466216216216215,0.11298426445945477
Zxing,RandomForestClassifier(random_state=0)24,0.7322834645669292,0.6071428571428571,0.425,0.5,0.6492816091954023,0.3345255647961469
Zxing,LogisticRegression(random_state=0)0,0.6290322580645161,0.3181818181818182,0.18421052631578946,0.23333333333333334,0.5048959608323134,0.011816735867167007
Zxing,LogisticRegression(random_state=0)1,0.7213114754098361,0.5714285714285714,0.2222222222222222,0.32,0.5762273901808787,0.21815522895968656
Zxing,LogisticRegression(random_state=0)2,0.6810344827586207,0.2727272727272727,0.09375,0.13953488372093023,0.4992559523809524,-0.002270149022013315
Zxing,LogisticRegression(random_state=0)3,0.6115702479338843,0.3684210526315789,0.16666666666666666,0.22950819672131145,0.5073839662447257,0.01932328693436879
Zxing,LogisticRegression(random_state=0)4,0.7007874015748031,0.5263157894736842,0.2564102564102564,0.3448275862068965,0.5770687645687645,0.19933949524223077
Zxing,LogisticRegression(random_state=0)5,0.6637168141592921,0.5238095238095238,0.28205128205128205,0.36666666666666664,0.5734580734580734,0.17956187519926306
Zxing,LogisticRegression(random_state=0)6,0.6328125,0.4444444444444444,0.17777777777777778,0.25396825396825395,0.5286479250334672,0.07869295886488886
Zxing,LogisticRegression(random_state=0)7,0.7181818181818181,0.42857142857142855,0.20689655172413793,0.2790697674418604,0.5540655598126862,0.1429527695917843
Zxing,LogisticRegression(random_state=0)8,0.6461538461538462,0.42857142857142855,0.20930232558139536,0.28125000000000006,0.5356856455493183,0.09124194003994279
Zxing,LogisticRegression(random_state=0)9,0.6910569105691057,0.4583333333333333,0.3055555555555556,0.3666666666666667,0.5780651340996168,0.17925643880802503
Zxing,LogisticRegression(random_state=0)10,0.6592592592592592,0.42857142857142855,0.13636363636363635,0.20689655172413793,0.5242257742257742,0.07449000313109222
Zxing,LogisticRegression(random_state=0)11,0.7384615384615385,0.75,0.225,0.3461538461538462,0.5958333333333334,0.305609051985322
Zxing,LogisticRegression(random_state=0)12,0.6271186440677966,0.3333333333333333,0.1891891891891892,0.24137931034482757,0.5081748415081748,0.019831574421510338
Zxing,LogisticRegression(random_state=0)13,0.64,0.45,0.20930232558139536,0.28571428571428575,0.5375779920589903,0.09738567360968374
Zxing,LogisticRegression(random_state=0)14,0.6639344262295082,0.5,0.1951219512195122,0.28070175438596495,0.5481782595603734,0.13483499288315803
Zxing,LogisticRegression(random_state=0)15,0.7016129032258065,0.5,0.2972972972972973,0.3728813559322034,0.585430257844051,0.20464011672820842
Zxing,LogisticRegression(random_state=0)16,0.6120689655172413,0.28,0.20588235294117646,0.23728813559322035,0.4931850789096126,-0.015088515432758425
Zxing,LogisticRegression(random_state=0)17,0.675,0.5714285714285714,0.1,0.1702127659574468,0.53125,0.12570911378856728
Zxing,LogisticRegression(random_state=0)18,0.6546762589928058,0.35294117647058826,0.3157894736842105,0.33333333333333337,0.5489838457529964,0.10157837283635797
Zxing,LogisticRegression(random_state=0)19,0.648854961832061,0.40625,0.325,0.36111111111111116,0.5581043956043955,0.12456530309546368
Zxing,LogisticRegression(random_state=0)20,0.71900826446281,0.45,0.28125,0.34615384615384615,0.5788272471910113,0.18719776694520512
Zxing,LogisticRegression(random_state=0)21,0.744,0.47058823529411764,0.25806451612903225,0.3333333333333333,0.5811599176389842,0.20449374505894988
Zxing,LogisticRegression(random_state=0)22,0.6521739130434783,0.2916666666666667,0.23333333333333334,0.2592592592592593,0.5166666666666667,0.03601824256281527
Zxing,LogisticRegression(random_state=0)23,0.6324786324786325,0.35,0.1891891891891892,0.24561403508771934,0.5133445945945946,0.03296707155918815
Zxing,LogisticRegression(random_state=0)24,0.6456692913385826,0.38095238095238093,0.2,0.2622950819672132,0.525287356321839,0.06323542850624232
Zxing,GaussianNB()0,0.6290322580645161,0.34615384615384615,0.23684210526315788,0.28125,0.5195838433292533,0.044357721910046326
Zxing,GaussianNB()1,0.7131147540983607,0.5294117647058824,0.25,0.33962264150943394,0.5784883720930233,0.20673627318962523
Zxing,GaussianNB()2,0.7155172413793104,0.4782608695652174,0.34375,0.4,0.6004464285714286,0.22520277378570938
Zxing,GaussianNB()3,0.5867768595041323,0.3,0.14285714285714285,0.19354838709677416,0.4828209764918625,-0.04403428771966101
Zxing,GaussianNB()4,0.6850393700787402,0.48,0.3076923076923077,0.37500000000000006,0.5799825174825175,0.1855789078995189
Zxing,GaussianNB()5,0.672566371681416,0.5294117647058824,0.46153846153846156,0.4931506849315069,0.6226611226611227,0.25429164435786517
Zxing,GaussianNB()6,0.625,0.4634146341463415,0.4222222222222222,0.4418604651162791,0.5785809906291834,0.16082043907575794
Zxing,GaussianNB()7,0.7,0.4090909090909091,0.3103448275862069,0.35294117647058826,0.5749255002128565,0.1650625228240461
Zxing,GaussianNB()8,0.6153846153846154,0.41025641025641024,0.37209302325581395,0.3902439024390244,0.55386260358193,0.11060078065552009
Zxing,GaussianNB()9,0.6666666666666666,0.4074074074074074,0.3055555555555556,0.3492063492063492,0.560823754789272,0.13372007157572324
Zxing,GaussianNB()10,0.6592592592592592,0.46153846153846156,0.2727272727272727,0.3428571428571428,0.5594405594405594,0.14130580234649381
Zxing,GaussianNB()11,0.6846153846153846,0.48484848484848486,0.4,0.4383561643835617,0.6055555555555555,0.22388216851941858
Zxing,GaussianNB()12,0.6016949152542372,0.3076923076923077,0.21621621621621623,0.25396825396825395,0.496996996996997,-0.0067227745291367925
Zxing,GaussianNB()13,0.624,0.42857142857142855,0.27906976744186046,0.3380281690140845,0.5419739081111742,0.09565015414983011
Zxing,GaussianNB()14,0.6557377049180327,0.4827586206896552,0.34146341463414637,0.4000000000000001,0.5781391147244807,0.1734173106132225
Zxing,GaussianNB()15,0.6290322580645161,0.37142857142857144,0.35135135135135137,0.36111111111111116,0.5492388940664803,0.10010822207899076
Zxing,GaussianNB()16,0.5862068965517241,0.15,0.08823529411764706,0.11111111111111112,0.44045911047345765,-0.14349642606906934
Zxing,GaussianNB()17,0.6083333333333333,0.3870967741935484,0.3,0.3380281690140845,0.53125,0.0673099326903702
Zxing,GaussianNB()18,0.697841726618705,0.4230769230769231,0.2894736842105263,0.34375,0.5704794163626888,0.16110865951801417
Zxing,GaussianNB()19,0.6641221374045801,0.43333333333333335,0.325,0.37142857142857144,0.5690934065934066,0.15145931174143912
Zxing,GaussianNB()20,0.743801652892562,0.5294117647058824,0.28125,0.3673469387755102,0.5956811797752809,0.24287643492990946
Zxing,GaussianNB()21,0.696,0.37037037037037035,0.3225806451612903,0.3448275862068965,0.5708647906657516,0.14873403429998783
Zxing,GaussianNB()22,0.6173913043478261,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.503921568627451,0.00784313725490196
Zxing,GaussianNB()23,0.6324786324786325,0.39285714285714285,0.2972972972972973,0.3384615384615385,0.5423986486486486,0.0924174214310122
Zxing,GaussianNB()24,0.7007874015748031,0.5333333333333333,0.4,0.4571428571428572,0.6195402298850574,0.26144913530841407
Zxing,DecisionTreeClassifier(random_state=0)0,0.6209677419354839,0.40425531914893614,0.5,0.44705882352941173,0.5872093023255814,0.16574465812484748
Zxing,DecisionTreeClassifier(random_state=0)1,0.5655737704918032,0.2926829268292683,0.3333333333333333,0.3116883116883117,0.49806201550387597,-0.003742366632458189
Zxing,DecisionTreeClassifier(random_state=0)2,0.6724137931034483,0.425,0.53125,0.47222222222222215,0.628720238095238,0.2420776364726831
Zxing,DecisionTreeClassifier(random_state=0)3,0.5371900826446281,0.3055555555555556,0.2619047619047619,0.2820512820512821,0.4727245328511151,-0.056804098362845196
Zxing,DecisionTreeClassifier(random_state=0)4,0.6377952755905512,0.34782608695652173,0.20512820512820512,0.2580645161290323,0.5173368298368298,0.0415329456866513
Zxing,DecisionTreeClassifier(random_state=0)5,0.6194690265486725,0.4375,0.358974358974359,0.39436619718309857,0.557865557865558,0.12211831545038002
Zxing,DecisionTreeClassifier(random_state=0)6,0.578125,0.4,0.4,0.4000000000000001,0.5373493975903614,0.0746987951807229
Zxing,DecisionTreeClassifier(random_state=0)7,0.7363636363636363,0.5,0.6551724137931034,0.5671641791044776,0.7103022562792678,0.38972421385944195
Zxing,DecisionTreeClassifier(random_state=0)8,0.6153846153846154,0.43137254901960786,0.5116279069767442,0.46808510638297873,0.5891472868217056,0.17180402971553566
Zxing,DecisionTreeClassifier(random_state=0)9,0.5934959349593496,0.34782608695652173,0.4444444444444444,0.3902439024390244,0.5498084291187739,0.09367408052678985
Zxing,DecisionTreeClassifier(random_state=0)10,0.6666666666666666,0.4864864864864865,0.4090909090909091,0.44444444444444453,0.6001498501498501,0.21048125956695346
Zxing,DecisionTreeClassifier(random_state=0)11,0.6076923076923076,0.358974358974359,0.35,0.3544303797468355,0.5361111111111112,0.07273929674533079
Zxing,DecisionTreeClassifier(random_state=0)12,0.6016949152542372,0.38636363636363635,0.4594594594594595,0.41975308641975306,0.5630630630630631,0.12100581198561673
Zxing,DecisionTreeClassifier(random_state=0)13,0.616,0.43243243243243246,0.37209302325581395,0.4,0.5579977311401021,0.12070908445092865
Zxing,DecisionTreeClassifier(random_state=0)14,0.6147540983606558,0.4117647058823529,0.34146341463414637,0.37333333333333335,0.5472749171936164,0.09961263207938598
Zxing,DecisionTreeClassifier(random_state=0)15,0.6129032258064516,0.36585365853658536,0.40540540540540543,0.3846153846153847,0.5532774153463809,0.10363409450758507
Zxing,DecisionTreeClassifier(random_state=0)16,0.5948275862068966,0.34146341463414637,0.4117647058823529,0.37333333333333335,0.541248206599713,0.07855229739669323
Zxing,DecisionTreeClassifier(random_state=0)17,0.6,0.3888888888888889,0.35,0.36842105263157887,0.5375,0.07715167498104596
Zxing,DecisionTreeClassifier(random_state=0)18,0.6258992805755396,0.36,0.47368421052631576,0.40909090909090906,0.5784262636789994,0.1456679473735589
Zxing,DecisionTreeClassifier(random_state=0)19,0.6412213740458015,0.4146341463414634,0.425,0.41975308641975306,0.5806318681318682,0.16016743710787618
Zxing,DecisionTreeClassifier(random_state=0)20,0.6115702479338843,0.3170731707317073,0.40625,0.3561643835616438,0.5458216292134832,0.08539522615005457
Zxing,DecisionTreeClassifier(random_state=0)21,0.736,0.47058823529411764,0.5161290322580645,0.4923076923076923,0.6623198352779684,0.3150548778629853
Zxing,DecisionTreeClassifier(random_state=0)22,0.6173913043478261,0.3409090909090909,0.5,0.40540540540540543,0.5794117647058824,0.14349257210603125
Zxing,DecisionTreeClassifier(random_state=0)23,0.6495726495726496,0.4444444444444444,0.43243243243243246,0.4383561643835616,0.5912162162162162,0.18380365552345196
Zxing,DecisionTreeClassifier(random_state=0)24,0.6929133858267716,0.5111111111111111,0.575,0.5411764705882353,0.6610632183908046,0.3128259755155115
Zxing,KNeighborsClassifier()0,0.6451612903225806,0.4318181818181818,0.5,0.46341463414634143,0.6046511627906976,0.2016711366489857
Zxing,KNeighborsClassifier()1,0.6557377049180327,0.40625,0.3611111111111111,0.38235294117647056,0.5700904392764858,0.14534262834858253
Zxing,KNeighborsClassifier()2,0.75,0.5517241379310345,0.5,0.5245901639344263,0.6726190476190476,0.3563483225498992
Zxing,KNeighborsClassifier()3,0.628099173553719,0.45714285714285713,0.38095238095238093,0.4155844155844156,0.5702230259192285,0.14745668901451447
Zxing,KNeighborsClassifier()4,0.6535433070866141,0.41935483870967744,0.3333333333333333,0.3714285714285714,0.5643939393939393,0.1383031801217958
Zxing,KNeighborsClassifier()5,0.6548672566371682,0.5,0.28205128205128205,0.36065573770491804,0.5667013167013166,0.1601697617449358
Zxing,KNeighborsClassifier()6,0.5859375,0.3888888888888889,0.3111111111111111,0.34567901234567905,0.5230254350736279,0.04890327899081138
Zxing,KNeighborsClassifier()7,0.7363636363636363,0.5,0.3793103448275862,0.4313725490196078,0.621753937845892,0.2682265995890749
Zxing,KNeighborsClassifier()8,0.6076923076923076,0.40476190476190477,0.3953488372093023,0.4,0.553996257685111,0.10864794834730367
Zxing,KNeighborsClassifier()9,0.5853658536585366,0.3076923076923077,0.3333333333333333,0.32,0.5114942528735632,0.022477586270599193
Zxing,KNeighborsClassifier()10,0.6296296296296297,0.4,0.2727272727272727,0.3243243243243243,0.5374625374625375,0.0844731994270118
Zxing,KNeighborsClassifier()11,0.6307692307692307,0.3333333333333333,0.2,0.25,0.5111111111111111,0.02643505285727147
Zxing,KNeighborsClassifier()12,0.6271186440677966,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.5669002335669002,0.13380046713380048
Zxing,KNeighborsClassifier()13,0.616,0.41935483870967744,0.3023255813953488,0.3513513513513513,0.5414066931366989,0.09109549996500992
Zxing,KNeighborsClassifier()14,0.639344262295082,0.45161290322580644,0.34146341463414637,0.3888888888888889,0.5657934357121349,0.14277279319205644
Zxing,KNeighborsClassifier()15,0.717741935483871,0.5333333333333333,0.43243243243243246,0.47761194029850745,0.6357564461012737,0.2900857465462585
Zxing,KNeighborsClassifier()16,0.5948275862068966,0.3617021276595745,0.5,0.4197530864197531,0.5670731707317073,0.12438034100404112
Zxing,KNeighborsClassifier()17,0.6333333333333333,0.4230769230769231,0.275,0.33333333333333337,0.54375,0.10012267434585904
Zxing,KNeighborsClassifier()18,0.6690647482014388,0.40476190476190477,0.4473684210526316,0.42500000000000004,0.5999218342886921,0.19396901768836206
Zxing,KNeighborsClassifier()19,0.5267175572519084,0.225,0.225,0.225,0.44217032967032965,-0.11565934065934066
Zxing,KNeighborsClassifier()20,0.6363636363636364,0.3695652173913043,0.53125,0.4358974358974359,0.6027036516853932,0.18662779549099598
Zxing,KNeighborsClassifier()21,0.664,0.358974358974359,0.45161290322580644,0.4,0.5928277282086479,0.1730497444361612
Zxing,KNeighborsClassifier()22,0.5391304347826087,0.21951219512195122,0.3,0.2535211267605634,0.46176470588235297,-0.07010624930622944
Zxing,KNeighborsClassifier()23,0.5641025641025641,0.3409090909090909,0.40540540540540543,0.37037037037037035,0.5214527027027027,0.04118794243790918
Zxing,KNeighborsClassifier()24,0.6299212598425197,0.4,0.35,0.3733333333333333,0.5543103448275861,0.11292087689077299
Zxing,MLPClassifier(random_state=0)0,0.6854838709677419,0.48717948717948717,0.5,0.49350649350649345,0.6337209302325582,0.2655391998946621
Zxing,MLPClassifier(random_state=0)1,0.6885245901639344,0.4,0.1111111111111111,0.1739130434782609,0.5206718346253231,0.06873856829686227
Zxing,MLPClassifier(random_state=0)2,0.7155172413793104,0.47368421052631576,0.28125,0.35294117647058826,0.5811011904761905,0.19588861221818155
Zxing,MLPClassifier(random_state=0)3,0.6198347107438017,0.4411764705882353,0.35714285714285715,0.3947368421052631,0.5583182640144666,0.12353035495811325
Zxing,MLPClassifier(random_state=0)4,0.6850393700787402,0.48484848484848486,0.41025641025641024,0.4444444444444444,0.608537296037296,0.2283293479457339
Zxing,MLPClassifier(random_state=0)5,0.6283185840707964,0.4,0.15384615384615385,0.2222222222222222,0.516112266112266,0.04515190910512813
Zxing,MLPClassifier(random_state=0)6,0.609375,0.35294117647058826,0.13333333333333333,0.19354838709677416,0.5004016064257029,0.0011300300736080174
Zxing,MLPClassifier(random_state=0)7,0.7454545454545455,0.5151515151515151,0.5862068965517241,0.5483870967741935,0.6943380161770967,0.3737033031848219
Zxing,MLPClassifier(random_state=0)8,0.5846153846153846,0.34285714285714286,0.27906976744186046,0.3076923076923077,0.5073509756749532,0.015594555867520541
Zxing,MLPClassifier(random_state=0)9,0.6504065040650406,0.40540540540540543,0.4166666666666667,0.4109589041095891,0.5818965517241379,0.16250113577804068
Zxing,MLPClassifier(random_state=0)10,0.6814814814814815,0.5161290322580645,0.36363636363636365,0.4266666666666667,0.5994005994005994,0.22154834838418455
Zxing,MLPClassifier(random_state=0)11,0.6692307692307692,0.4,0.15,0.21818181818181814,0.5249999999999999,0.07223151185146151
Zxing,MLPClassifier(random_state=0)12,0.6610169491525424,0.45161290322580644,0.3783783783783784,0.411764705882353,0.584250917584251,0.17762640797004303
Zxing,MLPClassifier(random_state=0)13,0.656,0.5,0.3023255813953488,0.37681159420289856,0.5718944980147477,0.16829163667724736
Zxing,MLPClassifier(random_state=0)14,0.6475409836065574,0.45454545454545453,0.24390243902439024,0.31746031746031744,0.547877145438121,0.11764713128412475
Zxing,MLPClassifier(random_state=0)15,0.717741935483871,0.5714285714285714,0.21621621621621623,0.3137254901960784,0.5736253494874185,0.2128910936051831
Zxing,MLPClassifier(random_state=0)16,0.6379310344827587,0.375,0.35294117647058826,0.3636363636363636,0.554519368723099,0.11104846677501637
Zxing,MLPClassifier(random_state=0)17,0.675,0.5217391304347826,0.3,0.38095238095238093,0.58125,0.1946160121901762
